City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3261,Sarankhola,BD,75.18,clear sky,22.3082,89.7897,Md Mostafiz Mir Al Imran's House
3262,Inirida,CO,77.2,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
3265,Gaoua,BF,87.4,broken clouds,10.2992,-3.2508,
3266,Lubao,PH,77.0,scattered clouds,14.9167,120.55,Hacienda Gracia
3267,Bastrop,US,75.99,overcast clouds,32.7562,-91.8724,Budget Inn
3275,Tual,ID,83.03,light rain,-5.6667,132.75,Grand Vilia Hotel
3278,Morondava,MG,76.78,clear sky,-20.2833,44.2833,La Case Bambou
3279,Poso,ID,79.0,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
3285,Tutoia,BR,78.46,moderate rain,-2.7619,-42.2744,Pousada Guará's
3288,Durant,US,77.0,clear sky,33.994,-96.3708,Holiday Inn Express & Suites Durant
3292,Trairi,BR,76.95,scattered clouds,-3.2778,-39.2689,janelas do mar
3295,Vao,NC,76.19,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
3296,Flinders,AU,75.99,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
3298,Baracoa,CU,77.68,few clouds,20.3467,-74.4958,Hostal Rio Miel
3299,Catubig,PH,76.62,overcast clouds,12.4098,125.0548,
3302,Namatanai,PG,82.89,light rain,-3.6667,152.4333,Namatanai Hotel
3303,Wawa,NG,86.5,broken clouds,9.9022,4.4192,
3305,Acarau,BR,77.99,overcast clouds,-2.8856,-40.12,castelo pizzaria
3309,Calamar,CO,86.0,clear sky,10.2511,-74.9146,Hostal Katyalex
3312,Baghmara,IN,76.46,clear sky,23.795,86.2085,Shankar tea shop
3317,Tabou,CI,78.04,light rain,4.423,-7.3528,hotêl doufoulougou
3327,Samarai,PG,83.3,overcast clouds,-10.6167,150.6667,Nuli Sapi
3329,Guaruja,BR,82.99,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
3331,Santa,PH,77.41,clear sky,17.486,120.4348,Monte Leah Beach Resort
3334,Sambava,MG,75.61,broken clouds,-14.2667,50.1667,Melrose
3336,Nobres,BR,76.17,few clouds,-14.7203,-56.3275,Hotel Portal Nobres
3339,Gaoual,GN,88.7,overcast clouds,11.75,-13.2,Hotel koliba
3341,Luanda,AO,79.11,overcast clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
3347,Banfora,BF,89.67,overcast clouds,10.6333,-4.7667,Residences David Hebié
3348,Saint-Pierre,RE,77.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
3350,Latung,PH,80.56,overcast clouds,5.5,120.8833,
3353,Na Wa,TH,75.99,overcast clouds,17.4897,104.1006,ร้านช่างเจมส์ สแตนเลส ประตู อื่นๆ คอกซิ่ง นาหว้านครพนม
3354,Iralaya,HN,84.2,few clouds,15.0,-83.2333,Iglesia morava renovada
3355,Parrita,CR,77.0,broken clouds,9.5201,-84.3225,Beso del Viento
3361,Muli,MV,80.92,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
3369,Jaciara,BR,75.09,overcast clouds,-15.9653,-54.9683,Taba Hotel
3374,Srivardhan,IN,82.15,clear sky,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
3378,Formosa,AR,86.0,few clouds,-26.1775,-58.1781,Hotel Portal del Sol
3381,Sao Jose Da Coroa Grande,BR,79.16,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
3382,Santa Maria Da Boa Vista,BR,82.65,broken clouds,-8.8078,-39.8256,Fênix Hotel e Restaurante
3384,Ca Mau,VN,79.56,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
3385,Wewak,PG,78.82,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
3388,Puerto Maldonado,PE,76.33,broken clouds,-12.6,-69.1833,Wasai Hotel
3393,Grand Baie,MU,77.0,broken clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
3394,Kaura Namoda,NG,84.79,overcast clouds,12.5898,6.5779,Moonlight Hotel
3401,Palmerston,AU,78.01,moderate rain,-12.485999999999999,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
3403,Saint-Georges,GD,77.67,few clouds,12.0564,-61.7485,Siesta Hotel
3404,Ambon,ID,77.0,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
3411,Gweta,BW,76.95,overcast clouds,-20.1833,25.2333,Gweta Lodge
3413,Kimbe,PG,81.37,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
3414,Atar,MR,81.18,few clouds,20.5169,-13.0499,Oumou Elghoura
3415,Siguiri,GN,85.71,broken clouds,11.6667,-9.5,
3416,Kuala Terengganu,MY,82.4,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
3420,Byron Bay,AU,75.2,clear sky,-28.65,153.6167,Backpackers Inn on the Beach
3425,Avarua,CK,86.0,broken clouds,-21.2078,-159.775,Paradise Inn
3428,Ovejas,CO,81.36,overcast clouds,9.5325,-75.2238,Hotel San Francisco
3430,Sinnamary,GF,76.96,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
3433,Rikitea,PF,79.54,clear sky,-23.1203,-134.9692,Pension Maro'i
3447,Padang,ID,75.2,broken clouds,-0.9492,100.3543,Mercure Padang
3448,Touros,BR,78.8,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
3449,Puerto Ayora,EC,82.4,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
3454,Vaini,TO,75.2,moderate rain,-21.2,-175.2,Keleti Beach Resort
3455,Arraial Do Cabo,BR,78.8,clear sky,-22.9661,-42.0278,Pousada Porto Praia
3457,Ternate,ID,78.64,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
3460,Nha Trang,VN,75.2,broken clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
3462,Dosso,NE,85.21,few clouds,13.049000000000001,3.1937,Hotel Toubal
3464,Port Macquarie,AU,75.99,clear sky,-31.4333,152.9167,Rydges Port Macquarie
3469,Santa Maria,BR,75.2,few clouds,-29.6842,-53.8069,Hotel Morotin
3471,Quatre Cocos,MU,77.0,few clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
3472,Kannangad,IN,78.39,scattered clouds,12.3081,75.1063,Hotel Landmark
3474,Rurrenabaque,BO,86.0,scattered clouds,-14.4413,-67.5278,Casa de Campo
3475,Kapaa,US,79.0,overcast clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
3478,Grand Gaube,MU,77.0,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
3484,Sao Borja,BR,77.81,clear sky,-28.6606,-56.0044,Hotel Executivo
3487,Manzanillo,CU,82.4,scattered clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
3493,Kitgum,UG,75.2,overcast clouds,3.2783,32.8867,Jaflo Gardens Hotel
3499,Nuevitas,CU,87.8,scattered clouds,21.5453,-77.2644,Hotel Caonaba
3506,Hilo,US,84.2,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
3507,Georgetown,MY,79.0,mist,5.4112,100.3354,Cititel Penang
3509,Bengkulu,ID,76.14,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
3511,Trincomalee,LK,81.66,overcast clouds,8.5711,81.2335,Welcombe Hotel
3512,Atuona,PF,80.33,overcast clouds,-9.8,-139.0333,Villa Enata
3515,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
3518,Concepcion Del Uruguay,AR,75.0,few clouds,-32.4825,-58.2372,Aires del Campo Cabañas y Hotel
3519,Bambous Virieux,MU,77.0,few clouds,-20.3428,57.7575,Casa Tia Villa
3522,West Bay,KY,84.2,scattered clouds,19.3667,-81.4167,Calypso Cove
3524,Butaritari,KI,81.46,light rain,3.0707,172.7902,Isles Sunset Lodge
3525,Pimentel,PE,75.2,clear sky,-6.8367,-79.9342,Casona Del Muelle
3529,Honiara,SB,84.67,scattered clouds,-9.4333,159.95,Heritage Park Hotel
3531,Souillac,MU,75.2,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
3534,Hithadhoo,MV,82.49,overcast clouds,-0.6,73.0833,Scoop Guest House
3535,Cockburn Town,TC,78.8,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
3538,Port Blair,IN,80.6,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
3540,Hambantota,LK,77.68,moderate rain,6.1241,81.1185,Bungalow 63
3542,Pangai,TO,80.6,light rain,-19.8,-174.35,Ha'apai Beach Resort
